ced cgbefad gbcaef cd
dbfe gaecdf fbgae agfbe
dga gacfebd adbgcf adgbce
aegc gdeabfc fgedac eacg
eg adgfb ge ceabf
dcef fea cgfda gbcae
gde fcbadg egdafc dbaefcg
gcdfae aefcbdg fdgebac eac
dfag dgebcaf dfbcage dgc
ae ea eadbgfc fdabge
fad df fd bedgcfa
bcedf fgbed bcafe cfbedag
dbc bd ebgdc bgcfda
bgafd ga ga ag
gbdeacf ad bgedca dcbagfe
dfeagbc cdeabf dea ea
bfacedg ace eca afgdc
gbcf cebda cgd cg
gfadb egbda bgdea bcadgef
aefdbgc gc efadbc gc
ecfd bde cfbea fagebc
gdeafc fc decbgaf gedca
ade acedfgb acegfdb becfda
cead deacfg ged gbfaedc
fb gabf bfd cefagd
bdeagfc ecda agbfd dgafce
cdgfbe fcgde cfb fcedg
ecafbgd bfdg gcbdefa eacdbg
fegacbd ef fcbge abgfc
gcfebd cadfeg adfcb afcbd
fgecba gad aebgcfd agfcd
bgca bec gabc bc
ebda dfabg adg bdae
bcge begc efb bcgdef
dbag fdg fgd gbad
bcgfda bf fb fb
ed adcbf bgdcfea ecbd
gcfdba fgdace cdegbfa agbdc
bcaf cbaf gdecbf ebc
bdfceg dgab adf gadb
ged fcgeab gdaeb de
acfgb cbdaeg gecadb acd
acbefdg dc gfcea bcda
egb bgdfaec bg feacbdg
cdgae ae eadfcb egaf
acbgf fabecg bfe badefg
dcab cgeda agd ad
cb gcbe bac dbgeafc
aebcgdf bfc dcaebfg edfbacg
fd begcf df df
cfagd ecbdaf cbf dbfcae
dgceabf ebc bce fcgb
deagbf eacdgf dgcbefa dfgec
bc cb acb adegbc
dcabegf cbgdfea bfda cadbe
aced edgbc ebd ed
abdef gdcafb dgbaf ebfad
fcbad ebcfa edcgba dacbf
cdfg dg gbeacfd bdg
bdeca adfegb cbfad cf
cde cdbgaef ceadfg eabc
adcgb egdbca dgbfaec gdb
bfgdaec gcdebfa dbecgf dagcbe
acd faecg afcdg fdbgc
eg gfe gcbe bcge
gfabcd afc degabf fac
cea dabcegf cea badfcg
bfcdeg dgfca edcafbg dcafbeg
ecbaf fbcdage cf bfc
afdcb cbfgda acg abdfc
acbf cfegb gebad bacf
